,Country code,Year,Financing scheme,Function,Provider,Share of current expenditure on health (in %),Share of gross domestic product (in %)
3794,NLD,2020,Government/compulsory schemes,Current expenditure on health (all functions),Providers of health care system administration and financing,3.677,0.41
3795,NLD,2020,Government/compulsory schemes,Current expenditure on health (all functions),Retailers and other providers of medical goods,6.157,0.687
3796,NLD,2020,Government/compulsory schemes,Current expenditure on health (all functions),Providers of ancillary services,1.125,0.125
3797,NLD,2020,Government/compulsory schemes,Current expenditure on health (all functions),All providers,84.921,9.472
3798,NLD,2020,Government/compulsory schemes,Current expenditure on health (all functions),Rest of the economy,0.858,0.096
3799,NLD,2020,Government/compulsory schemes,Preventive care,All providers,3.458,0.386
3800,NLD,2020,Government/compulsory schemes,Ancillary services (non-specified by function),All providers,1.305,0.146
3801,NLD,2020,Government/compulsory schemes,Other health care services unknown,All providers,1.052,0.117
3802,NLD,2020,Government/compulsory schemes,Long-term care (health),All providers,27.32,3.047
3803,NLD,2020,Government/compulsory schemes,Inpatient curative and rehabilitative care,All providers,17.235,1.922
3804,NLD,2020,Government/compulsory schemes,Outpatient curative and rehabilitative care,All providers,19.581,2.184
3805,NLD,2020,Government/compulsory schemes,Medical goods (non-specified by function),All providers,6.437,0.718
3806,NLD,2020,Government/compulsory schemes,Governance and health system and financing administration,All providers,3.334,0.372
3807,NLD,2020,Voluntary schemes/household out-of-pocket payments,Current expenditure on health (all functions),Hospitals,2.321,0.259
3808,NLD,2020,Voluntary schemes/household out-of-pocket payments,Current expenditure on health (all functions),Residential long-term care facilities,1.726,0.192
3809,NLD,2020,Voluntary schemes/household out-of-pocket payments,Current expenditure on health (all functions),Providers of ambulatory health care,4.689,0.523
3810,NLD,2020,Voluntary schemes/household out-of-pocket payments,Current expenditure on health (all functions),Providers of preventive care,0.643,0.072
3811,NLD,2020,Voluntary schemes/household out-of-pocket payments,Current expenditure on health (all functions),Providers of health care system administration and financing,0.641,0.071
3812,NLD,2020,Voluntary schemes/household out-of-pocket payments,Current expenditure on health (all functions),Rest of the world,0.213,0.024
3813,NLD,2020,Voluntary schemes/household out-of-pocket payments,Current expenditure on health (all functions),Retailers and other providers of medical goods,4.034,0.45
3814,NLD,2020,Voluntary schemes/household out-of-pocket payments,Current expenditure on health (all functions),Providers of ancillary services,0.546,0.061
3815,NLD,2020,Voluntary schemes/household out-of-pocket payments,Current expenditure on health (all functions),Rest of the economy,0.267,0.03
3816,NLD,2020,Voluntary schemes/household out-of-pocket payments,Current expenditure on health (all functions),All providers,15.079,1.682
3817,NLD,2020,Voluntary schemes/household out-of-pocket payments,Ancillary services (non-specified by function),All providers,0.49,0.055
3818,NLD,2020,Voluntary schemes/household out-of-pocket payments,Preventive care,All providers,1.091,0.122
3819,NLD,2020,Voluntary schemes/household out-of-pocket payments,Other health care services unknown,All providers,0.128,0.014
3820,NLD,2020,Voluntary schemes/household out-of-pocket payments,Long-term care (health),All providers,1.656,0.185
3821,NLD,2020,Voluntary schemes/household out-of-pocket payments,Inpatient curative and rehabilitative care,All providers,1.393,0.155
3822,NLD,2020,Voluntary schemes/household out-of-pocket payments,Outpatient curative and rehabilitative care,All providers,5.122,0.571
3823,NLD,2020,Voluntary schemes/household out-of-pocket payments,Medical goods (non-specified by function),All providers,4.138,0.462
3824,NLD,2020,Voluntary schemes/household out-of-pocket payments,Governance and health system and financing administration,All providers,0.536,0.06
3825,NLD,2020,Voluntary health care payment schemes,Current expenditure on health (all functions),Providers of ambulatory health care,3.486,0.389
3826,NLD,2020,Voluntary health care payment schemes,Current expenditure on health (all functions),Providers of preventive care,0.615,0.069
3827,NLD,2020,Voluntary health care payment schemes,Current expenditure on health (all functions),Rest of the world,0.05,0.006
3828,NLD,2020,Voluntary health care payment schemes,Current expenditure on health (all functions),Providers of health care system administration and financing,0.615,0.069
3829,NLD,2020,Voluntary health care payment schemes,Current expenditure on health (all functions),Retailers and other providers of medical goods,0.295,0.033
3830,NLD,2020,Voluntary health care payment schemes,Current expenditure on health (all functions),Providers of ancillary services,0.474,0.053
3831,NLD,2020,Voluntary health care payment schemes,Current expenditure on health (all functions),Rest of the economy,0.266,0.03
3832,NLD,2020,Voluntary health care payment schemes,Current expenditure on health (all functions),All providers,5.8,0.647
3833,NLD,2020,Voluntary health care payment schemes,Preventive care,All providers,0.977,0.109
3834,NLD,2020,Voluntary health care payment schemes,Ancillary services (non-specified by function),All providers,0.435,0.048
3835,NLD,2020,Voluntary health care payment schemes,Other health care services unknown,All providers,0.08,0.009
3836,NLD,2020,Voluntary health care payment schemes,Inpatient curative and rehabilitative care,All providers,0.028,0.003
3837,NLD,2020,Voluntary health care payment schemes,Outpatient curative and rehabilitative care,All providers,3.365,0.375
3838,NLD,2020,Voluntary health care payment schemes,Medical goods (non-specified by function),All providers,0.304,0.034
3839,NLD,2020,Voluntary health care payment schemes,Governance and health system and financing administration,All providers,0.536,0.06
3840,NLD,2020,Household out-of-pocket payments,Current expenditure on health (all functions),Hospitals,2.321,0.259
3841,NLD,2020,Household out-of-pocket payments,Current expenditure on health (all functions),Residential long-term care facilities,1.726,0.192
3842,NLD,2020,Household out-of-pocket payments,Current expenditure on health (all functions),Providers of ambulatory health care,1.202,0.134
3843,NLD,2020,Household out-of-pocket payments,Current expenditure on health (all functions),Providers of preventive care,0.028,0.003
3844,NLD,2020,Household out-of-pocket payments,Current expenditure on health (all functions),Providers of health care system administration and financing,0.026,0.003
3845,NLD,2020,Household out-of-pocket payments,Current expenditure on health (all functions),Rest of the world,0.162,0.018
3846,NLD,2020,Household out-of-pocket payments,Current expenditure on health (all functions),Retailers and other providers of medical goods,3.739,0.417
3847,NLD,2020,Household out-of-pocket payments,Current expenditure on health (all functions),Providers of ancillary services,0.072,0.008
3848,NLD,2020,Household out-of-pocket payments,Current expenditure on health (all functions),All providers,9.279,1.035
3849,NLD,2020,Household out-of-pocket payments,Current expenditure on health (all functions),Rest of the economy,0.001,0.0
3850,NLD,2020,Household out-of-pocket payments,Preventive care,All providers,0.114,0.013
3851,NLD,2020,Household out-of-pocket payments,Ancillary services (non-specified by function),All providers,0.055,0.006
3852,NLD,2020,Household out-of-pocket payments,Other health care services unknown,All providers,0.048,0.005
3853,NLD,2020,Household out-of-pocket payments,Long-term care (health),All providers,1.656,0.185
3854,NLD,2020,Household out-of-pocket payments,Inpatient curative and rehabilitative care,All providers,1.365,0.152
3855,NLD,2020,Household out-of-pocket payments,Medical goods (non-specified by function),All providers,3.835,0.428
3856,NLD,2020,Household out-of-pocket payments,Outpatient curative and rehabilitative care,All providers,1.757,0.196
3857,TUR,2010,All financing schemes,Current expenditure on health (all functions),Hospitals,42.531,2.135
3858,TUR,2010,All financing schemes,Current expenditure on health (all functions),Residential long-term care facilities,0.003,0.0
3859,TUR,2010,All financing schemes,Current expenditure on health (all functions),Providers of ambulatory health care,18.805,0.944
3860,TUR,2010,All financing schemes,Current expenditure on health (all functions),Providers of preventive care,1.132,0.057
3861,TUR,2010,All financing schemes,Current expenditure on health (all functions),Providers of health care system administration and financing,0.494,0.025
3862,TUR,2010,All financing schemes,Current expenditure on health (all functions),Retailers and other providers of medical goods,32.879,1.651
3863,TUR,2010,All financing schemes,Current expenditure on health (all functions),All providers,100.0,5.021
3864,TUR,2010,All financing schemes,Current expenditure on health (all functions),Rest of the economy,4.156,0.209
3865,TUR,2010,Government/compulsory schemes,Current expenditure on health (all functions),Hospitals,38.375,1.927
3866,TUR,2010,Government/compulsory schemes,Current expenditure on health (all functions),Providers of ambulatory health care,10.803,0.542
3867,TUR,2010,Government/compulsory schemes,Current expenditure on health (all functions),Providers of preventive care,1.132,0.057
3868,TUR,2010,Government/compulsory schemes,Current expenditure on health (all functions),Providers of health care system administration and financing,0.264,0.013
3869,TUR,2010,Government/compulsory schemes,Current expenditure on health (all functions),Retailers and other providers of medical goods,25.878,1.299
3870,TUR,2010,Government/compulsory schemes,Current expenditure on health (all functions),All providers,78.0,3.916
3871,TUR,2010,Government/compulsory schemes,Current expenditure on health (all functions),Rest of the economy,1.547,0.078
3872,TUR,2010,Voluntary schemes/household out-of-pocket payments,Current expenditure on health (all functions),Hospitals,4.156,0.209
3873,TUR,2010,Voluntary schemes/household out-of-pocket payments,Current expenditure on health (all functions),Residential long-term care facilities,0.003,0.0
3874,TUR,2010,Voluntary schemes/household out-of-pocket payments,Current expenditure on health (all functions),Providers of ambulatory health care,8.002,0.402
3875,TUR,2010,Voluntary schemes/household out-of-pocket payments,Current expenditure on health (all functions),Providers of health care system administration and financing,0.23,0.012
3876,TUR,2010,Voluntary schemes/household out-of-pocket payments,Current expenditure on health (all functions),Retailers and other providers of medical goods,7.001,0.351
3877,TUR,2010,Voluntary schemes/household out-of-pocket payments,Current expenditure on health (all functions),Rest of the economy,2.609,0.131
3878,TUR,2010,Voluntary schemes/household out-of-pocket payments,Current expenditure on health (all functions),All providers,22.0,1.105
3879,TUR,2010,Voluntary health care payment schemes,Current expenditure on health (all functions),Hospitals,1.768,0.089
3880,TUR,2010,Voluntary health care payment schemes,Current expenditure on health (all functions),Residential long-term care facilities,0.003,0.0
3881,TUR,2010,Voluntary health care payment schemes,Current expenditure on health (all functions),Providers of ambulatory health care,1.351,0.068
3882,TUR,2010,Voluntary health care payment schemes,Current expenditure on health (all functions),Providers of health care system administration and financing,0.23,0.012
3883,TUR,2010,Voluntary health care payment schemes,Current expenditure on health (all functions),Retailers and other providers of medical goods,1.004,0.05
3884,TUR,2010,Voluntary health care payment schemes,Current expenditure on health (all functions),Rest of the economy,0.774,0.039
3885,TUR,2010,Voluntary health care payment schemes,Current expenditure on health (all functions),All providers,5.129,0.257
3886,TUR,2010,Household out-of-pocket payments,Current expenditure on health (all functions),Hospitals,2.388,0.12
3887,TUR,2010,Household out-of-pocket payments,Current expenditure on health (all functions),Providers of ambulatory health care,6.651,0.334
3888,TUR,2010,Household out-of-pocket payments,Current expenditure on health (all functions),Retailers and other providers of medical goods,5.997,0.301
3889,TUR,2010,Household out-of-pocket payments,Current expenditure on health (all functions),All providers,16.872,0.847
3890,TUR,2010,Household out-of-pocket payments,Current expenditure on health (all functions),Rest of the economy,1.835,0.092
3891,TUR,2015,All financing schemes,Current expenditure on health (all functions),Hospitals,52.779,2.173
3892,TUR,2015,All financing schemes,Current expenditure on health (all functions),Residential long-term care facilities,0.001,0.0
3893,TUR,2015,All financing schemes,Current expenditure on health (all functions),Providers of ambulatory health care,12.751,0.525
3894,TUR,2015,All financing schemes,Current expenditure on health (all functions),Providers of preventive care,4.519,0.186
3895,TUR,2015,All financing schemes,Current expenditure on health (all functions),Providers of health care system administration and financing,0.429,0.018
3896,TUR,2015,All financing schemes,Current expenditure on health (all functions),Retailers and other providers of medical goods,26.748,1.101
3897,TUR,2015,All financing schemes,Current expenditure on health (all functions),All providers,100.0,4.117
3898,TUR,2015,All financing schemes,Current expenditure on health (all functions),Rest of the economy,2.772,0.114
3899,TUR,2015,Government/compulsory schemes,Current expenditure on health (all functions),Hospitals,42.9,1.766
3900,TUR,2015,Government/compulsory schemes,Current expenditure on health (all functions),Providers of ambulatory health care,9.151,0.377
3901,TUR,2015,Government/compulsory schemes,Current expenditure on health (all functions),Providers of preventive care,4.519,0.186
3902,TUR,2015,Government/compulsory schemes,Current expenditure on health (all functions),Providers of health care system administration and financing,0.249,0.01
3903,TUR,2015,Government/compulsory schemes,Current expenditure on health (all functions),Retailers and other providers of medical goods,19.757,0.813
3904,TUR,2015,Government/compulsory schemes,Current expenditure on health (all functions),All providers,78.134,3.217
3905,TUR,2015,Government/compulsory schemes,Current expenditure on health (all functions),Rest of the economy,1.557,0.064
3906,TUR,2015,Voluntary schemes/household out-of-pocket payments,Current expenditure on health (all functions),Hospitals,9.88,0.407
3907,TUR,2015,Voluntary schemes/household out-of-pocket payments,Current expenditure on health (all functions),Residential long-term care facilities,0.001,0.0
3908,TUR,2015,Voluntary schemes/household out-of-pocket payments,Current expenditure on health (all functions),Providers of ambulatory health care,3.6,0.148
3909,TUR,2015,Voluntary schemes/household out-of-pocket payments,Current expenditure on health (all functions),Providers of health care system administration and financing,0.18,0.007
3910,TUR,2015,Voluntary schemes/household out-of-pocket payments,Current expenditure on health (all functions),Retailers and other providers of medical goods,6.991,0.288
3911,TUR,2015,Voluntary schemes/household out-of-pocket payments,Current expenditure on health (all functions),Rest of the economy,1.215,0.05
3912,TUR,2015,Voluntary schemes/household out-of-pocket payments,Current expenditure on health (all functions),All providers,21.866,0.9
3913,TUR,2015,Voluntary health care payment schemes,Current expenditure on health (all functions),Hospitals,2.858,0.118
3914,TUR,2015,Voluntary health care payment schemes,Current expenditure on health (all functions),Residential long-term care facilities,0.001,0.0
3915,TUR,2015,Voluntary health care payment schemes,Current expenditure on health (all functions),Providers of ambulatory health care,0.747,0.031
3916,TUR,2015,Voluntary health care payment schemes,Current expenditure on health (all functions),Providers of health care system administration and financing,0.18,0.007
3917,TUR,2015,Voluntary health care payment schemes,Current expenditure on health (all functions),Retailers and other providers of medical goods,0.953,0.039
3918,TUR,2015,Voluntary health care payment schemes,Current expenditure on health (all functions),Rest of the economy,0.179,0.007
3919,TUR,2015,Voluntary health care payment schemes,Current expenditure on health (all functions),All providers,4.918,0.202
3920,TUR,2015,Household out-of-pocket payments,Current expenditure on health (all functions),Hospitals,7.022,0.289
3921,TUR,2015,Household out-of-pocket payments,Current expenditure on health (all functions),Providers of ambulatory health care,2.852,0.117
3922,TUR,2015,Household out-of-pocket payments,Current expenditure on health (all functions),Retailers and other providers of medical goods,6.038,0.249
3923,TUR,2015,Household out-of-pocket payments,Current expenditure on health (all functions),All providers,16.948,0.698
3924,TUR,2015,Household out-of-pocket payments,Current expenditure on health (all functions),Rest of the economy,1.036,0.043
3925,TUR,2019,All financing schemes,Current expenditure on health (all functions),Hospitals,51.768,2.257
3926,TUR,2019,All financing schemes,Current expenditure on health (all functions),Residential long-term care facilities,0.001,0.0
3927,TUR,2019,All financing schemes,Current expenditure on health (all functions),Providers of ambulatory health care,12.734,0.555
3928,TUR,2019,All financing schemes,Current expenditure on health (all functions),Providers of preventive care,4.719,0.206
3929,TUR,2019,All financing schemes,Current expenditure on health (all functions),Providers of health care system administration and financing,0.504,0.022
3930,TUR,2019,All financing schemes,Current expenditure on health (all functions),Retailers and other providers of medical goods,27.583,1.203
3931,TUR,2019,All financing schemes,Current expenditure on health (all functions),All providers,100.0,4.36
3932,TUR,2019,All financing schemes,Current expenditure on health (all functions),Rest of the economy,2.691,0.117
3933,TUR,2019,Government/compulsory schemes,Current expenditure on health (all functions),Hospitals,41.729,1.819
3934,TUR,2019,Government/compulsory schemes,Current expenditure on health (all functions),Providers of ambulatory health care,8.427,0.367
3935,TUR,2019,Government/compulsory schemes,Current expenditure on health (all functions),Providers of preventive care,4.719,0.206
3936,TUR,2019,Government/compulsory schemes,Current expenditure on health (all functions),Providers of health care system administration and financing,0.242,0.011
3937,TUR,2019,Government/compulsory schemes,Current expenditure on health (all functions),Retailers and other providers of medical goods,21.32,0.929
3938,TUR,2019,Government/compulsory schemes,Current expenditure on health (all functions),All providers,77.685,3.387
3939,TUR,2019,Government/compulsory schemes,Current expenditure on health (all functions),Rest of the economy,1.248,0.054
3940,TUR,2019,Voluntary schemes/household out-of-pocket payments,Current expenditure on health (all functions),Hospitals,10.039,0.438
3941,TUR,2019,Voluntary schemes/household out-of-pocket payments,Current expenditure on health (all functions),Residential long-term care facilities,0.001,0.0
3942,TUR,2019,Voluntary schemes/household out-of-pocket payments,Current expenditure on health (all functions),Providers of ambulatory health care,4.308,0.188
3943,TUR,2019,Voluntary schemes/household out-of-pocket payments,Current expenditure on health (all functions),Providers of health care system administration and financing,0.262,0.011
3944,TUR,2019,Voluntary schemes/household out-of-pocket payments,Current expenditure on health (all functions),Retailers and other providers of medical goods,6.263,0.273
3945,TUR,2019,Voluntary schemes/household out-of-pocket payments,Current expenditure on health (all functions),Rest of the economy,1.443,0.063
3946,TUR,2019,Voluntary schemes/household out-of-pocket payments,Current expenditure on health (all functions),All providers,22.315,0.973
3947,TUR,2019,Voluntary health care payment schemes,Current expenditure on health (all functions),Hospitals,3.051,0.133
3948,TUR,2019,Voluntary health care payment schemes,Current expenditure on health (all functions),Residential long-term care facilities,0.001,0.0
3949,TUR,2019,Voluntary health care payment schemes,Current expenditure on health (all functions),Providers of ambulatory health care,0.924,0.04
3950,TUR,2019,Voluntary health care payment schemes,Current expenditure on health (all functions),Providers of health care system administration and financing,0.262,0.011
3951,TUR,2019,Voluntary health care payment schemes,Current expenditure on health (all functions),Retailers and other providers of medical goods,0.849,0.037
3952,TUR,2019,Voluntary health care payment schemes,Current expenditure on health (all functions),Rest of the economy,0.181,0.008
3953,TUR,2019,Voluntary health care payment schemes,Current expenditure on health (all functions),All providers,5.267,0.23
3954,TUR,2019,Household out-of-pocket payments,Current expenditure on health (all functions),Hospitals,6.988,0.305
3955,TUR,2019,Household out-of-pocket payments,Current expenditure on health (all functions),Providers of ambulatory health care,3.384,0.148
3956,TUR,2019,Household out-of-pocket payments,Current expenditure on health (all functions),Retailers and other providers of medical goods,5.414,0.236
3957,TUR,2019,Household out-of-pocket payments,Current expenditure on health (all functions),All providers,17.048,0.743
3958,TUR,2019,Household out-of-pocket payments,Current expenditure on health (all functions),Rest of the economy,1.262,0.055
3959,TUR,2020,All financing schemes,Current expenditure on health (all functions),Hospitals,52.946,2.445
3960,TUR,2020,All financing schemes,Current expenditure on health (all functions),Residential long-term care facilities,0.001,0.0
3961,TUR,2020,All financing schemes,Current expenditure on health (all functions),Providers of ambulatory health care,11.012,0.509
3962,TUR,2020,All financing schemes,Current expenditure on health (all functions),Providers of preventive care,5.602,0.259
3963,TUR,2020,All financing schemes,Current expenditure on health (all functions),Providers of health care system administration and financing,0.5,0.023
3964,TUR,2020,All financing schemes,Current expenditure on health (all functions),Retailers and other providers of medical goods,27.054,1.249
3965,TUR,2020,All financing schemes,Current expenditure on health (all functions),All providers,100.0,4.618
3966,TUR,2020,All financing schemes,Current expenditure on health (all functions),Rest of the economy,2.886,0.133
3967,TUR,2020,Government/compulsory schemes,Current expenditure on health (all functions),Hospitals,43.399,2.004
3968,TUR,2020,Government/compulsory schemes,Current expenditure on health (all functions),Providers of ambulatory health care,7.027,0.325
3969,TUR,2020,Government/compulsory schemes,Current expenditure on health (all functions),Providers of preventive care,5.602,0.259
3970,TUR,2020,Government/compulsory schemes,Current expenditure on health (all functions),Providers of health care system administration and financing,0.22,0.01
3971,TUR,2020,Government/compulsory schemes,Current expenditure on health (all functions),Retailers and other providers of medical goods,21.09,0.974
3972,TUR,2020,Government/compulsory schemes,Current expenditure on health (all functions),All providers,78.845,3.641
3973,TUR,2020,Government/compulsory schemes,Current expenditure on health (all functions),Rest of the economy,1.508,0.07
3974,TUR,2020,Voluntary schemes/household out-of-pocket payments,Current expenditure on health (all functions),Hospitals,9.547,0.441
3975,TUR,2020,Voluntary schemes/household out-of-pocket payments,Current expenditure on health (all functions),Residential long-term care facilities,0.001,0.0
3976,TUR,2020,Voluntary schemes/household out-of-pocket payments,Current expenditure on health (all functions),Providers of ambulatory health care,3.985,0.184
3977,TUR,2020,Voluntary schemes/household out-of-pocket payments,Current expenditure on health (all functions),Providers of health care system administration and financing,0.28,0.013
3978,TUR,2020,Voluntary schemes/household out-of-pocket payments,Current expenditure on health (all functions),Retailers and other providers of medical goods,5.964,0.275
3979,TUR,2020,Voluntary schemes/household out-of-pocket payments,Current expenditure on health (all functions),Rest of the economy,1.378,0.064
3980,TUR,2020,Voluntary schemes/household out-of-pocket payments,Current expenditure on health (all functions),All providers,21.155,0.977
3981,TUR,2020,Voluntary health care payment schemes,Current expenditure on health (all functions),Hospitals,2.807,0.13
3982,TUR,2020,Voluntary health care payment schemes,Current expenditure on health (all functions),Residential long-term care facilities,0.001,0.0
3983,TUR,2020,Voluntary health care payment schemes,Current expenditure on health (all functions),Providers of ambulatory health care,0.725,0.033
3984,TUR,2020,Voluntary health care payment schemes,Current expenditure on health (all functions),Providers of health care system administration and financing,0.28,0.013
3985,TUR,2020,Voluntary health care payment schemes,Current expenditure on health (all functions),Retailers and other providers of medical goods,0.749,0.035
3986,TUR,2020,Voluntary health care payment schemes,Current expenditure on health (all functions),Rest of the economy,0.163,0.008
3987,TUR,2020,Voluntary health care payment schemes,Current expenditure on health (all functions),All providers,4.724,0.218
3988,TUR,2020,Household out-of-pocket payments,Current expenditure on health (all functions),Hospitals,6.74,0.311
3989,TUR,2020,Household out-of-pocket payments,Current expenditure on health (all functions),Providers of ambulatory health care,3.26,0.151
3990,TUR,2020,Household out-of-pocket payments,Current expenditure on health (all functions),Retailers and other providers of medical goods,5.215,0.241
3991,TUR,2020,Household out-of-pocket payments,Current expenditure on health (all functions),All providers,16.431,0.759
3992,TUR,2020,Household out-of-pocket payments,Current expenditure on health (all functions),Rest of the economy,1.216,0.056
3993,GBR,2015,All financing schemes,Current expenditure on health (all functions),Hospitals,41.585,4.056
3994,GBR,2015,All financing schemes,Current expenditure on health (all functions),Residential long-term care facilities,11.29,1.101
3995,GBR,2015,All financing schemes,Current expenditure on health (all functions),Providers of ambulatory health care,23.7,2.312
3996,GBR,2015,All financing schemes,Current expenditure on health (all functions),Providers of preventive care,1.754,0.171
3997,GBR,2015,All financing schemes,Current expenditure on health (all functions),Providers of health care system administration and financing,2.073,0.202
3998,GBR,2015,All financing schemes,Current expenditure on health (all functions),Rest of the world,0.179,0.017
3999,GBR,2015,All financing schemes,Current expenditure on health (all functions),Retailers and other providers of medical goods,11.366,1.109
4000,GBR,2015,All financing schemes,Current expenditure on health (all functions),Providers unknown,1.514,0.148
4001,GBR,2015,All financing schemes,Current expenditure on health (all functions),Providers of ancillary services,1.763,0.172
4002,GBR,2015,All financing schemes,Current expenditure on health (all functions),Rest of the economy,4.776,0.466
4003,GBR,2015,All financing schemes,Current expenditure on health (all functions),All providers,100.0,9.755
4004,GBR,2015,All financing schemes,Outpatient curative and rehabilitative care,Providers of ambulatory health care,12.912,1.259
4005,GBR,2015,All financing schemes,Outpatient curative and rehabilitative care,Hospitals,12.031,1.174
4006,GBR,2015,All financing schemes,Outpatient curative and rehabilitative care,Retailers and other providers of medical goods,0.211,0.021
4007,GBR,2015,All financing schemes,Outpatient curative and rehabilitative care,Providers of ancillary services,0.179,0.017
4008,GBR,2015,All financing schemes,Outpatient curative and rehabilitative care,Rest of the economy,0.115,0.011
4009,GBR,2015,All financing schemes,Outpatient curative and rehabilitative care,All providers,25.447,2.482
4010,GBR,2015,All financing schemes,Long-term care (health),Hospitals,0.543,0.053
4011,GBR,2015,All financing schemes,Long-term care (health),Residential long-term care facilities,11.25,1.097
4012,GBR,2015,All financing schemes,Long-term care (health),Providers of ambulatory health care,4.651,0.454
4013,GBR,2015,All financing schemes,Long-term care (health),All providers,17.839,1.74
4014,GBR,2015,All financing schemes,Long-term care (health),Rest of the economy,1.394,0.136
4015,GBR,2015,All financing schemes,Medical goods (non-specified by function),Providers of ambulatory health care,0.491,0.048
4016,GBR,2015,All financing schemes,Medical goods (non-specified by function),Retailers and other providers of medical goods,11.155,1.088
4017,GBR,2015,All financing schemes,Medical goods (non-specified by function),All providers,14.702,1.434
4018,GBR,2015,All financing schemes,Medical goods (non-specified by function),Rest of the economy,3.056,0.298
4019,GBR,2015,All financing schemes,Preventive care,Providers of ambulatory health care,2.851,0.278
4020,GBR,2015,All financing schemes,Preventive care,Providers of preventive care,1.725,0.168
4021,GBR,2015,All financing schemes,Preventive care,Hospitals,0.518,0.051
4022,GBR,2015,All financing schemes,Preventive care,All providers,5.251,0.512
4023,GBR,2015,All financing schemes,Preventive care,Rest of the economy,0.156,0.015
4024,GBR,2015,All financing schemes,Inpatient curative and rehabilitative care,Residential long-term care facilities,0.039,0.004
4025,GBR,2015,All financing schemes,Inpatient curative and rehabilitative care,Hospitals,23.591,2.301
4026,GBR,2015,All financing schemes,Inpatient curative and rehabilitative care,All providers,23.63,2.305
4027,GBR,2015,All financing schemes,Governance and health system and financing administration,Providers of preventive care,0.029,0.003
4028,GBR,2015,All financing schemes,Governance and health system and financing administration,Providers of health care system administration and financing,2.073,0.202
4029,GBR,2015,All financing schemes,Governance and health system and financing administration,Rest of the world,0.01,0.001
4030,GBR,2015,All financing schemes,Governance and health system and financing administration,All providers,2.112,0.206
4031,GBR,2015,All financing schemes,Other health care services unknown,Rest of the world,0.17,0.017
4032,GBR,2015,All financing schemes,Other health care services unknown,Providers unknown,1.514,0.148
4033,GBR,2015,All financing schemes,Other health care services unknown,All providers,1.684,0.164
4034,GBR,2015,All financing schemes,Ancillary services (non-specified by function),Hospitals,0.157,0.015
4035,GBR,2015,All financing schemes,Ancillary services (non-specified by function),All providers,1.788,0.174
4036,GBR,2015,All financing schemes,Ancillary services (non-specified by function),Providers of ancillary services,1.584,0.155
4037,GBR,2015,All financing schemes,Ancillary services (non-specified by function),Rest of the economy,0.047,0.005
4038,GBR,2015,Government/compulsory schemes,Current expenditure on health (all functions),Hospitals,38.741,3.779
4039,GBR,2015,Government/compulsory schemes,Current expenditure on health (all functions),Residential long-term care facilities,6.248,0.61
4040,GBR,2015,Government/compulsory schemes,Current expenditure on health (all functions),Providers of ambulatory health care,19.418,1.894
4041,GBR,2015,Government/compulsory schemes,Current expenditure on health (all functions),Providers of preventive care,1.534,0.15
4042,GBR,2015,Government/compulsory schemes,Current expenditure on health (all functions),Rest of the world,0.08,0.008
4043,GBR,2015,Government/compulsory schemes,Current expenditure on health (all functions),Providers of health care system administration and financing,1.081,0.105
4044,GBR,2015,Government/compulsory schemes,Current expenditure on health (all functions),Retailers and other providers of medical goods,8.076,0.788
4045,GBR,2015,Government/compulsory schemes,Current expenditure on health (all functions),Providers unknown,1.473,0.144
4046,GBR,2015,Government/compulsory schemes,Current expenditure on health (all functions),Providers of ancillary services,1.526,0.149
4047,GBR,2015,Government/compulsory schemes,Current expenditure on health (all functions),Rest of the economy,1.564,0.153
4048,GBR,2015,Government/compulsory schemes,Current expenditure on health (all functions),All providers,79.742,7.779
4049,GBR,2015,Government/compulsory schemes,Preventive care,All providers,4.064,0.396
4050,GBR,2015,Government/compulsory schemes,Ancillary services (non-specified by function),All providers,1.731,0.169
4051,GBR,2015,Government/compulsory schemes,Other health care services unknown,All providers,1.543,0.151
4052,GBR,2015,Government/compulsory schemes,Long-term care (health),All providers,12.112,1.181
4053,GBR,2015,Government/compulsory schemes,Inpatient curative and rehabilitative care,All providers,22.279,2.173
4054,GBR,2015,Government/compulsory schemes,Medical goods (non-specified by function),All providers,8.356,0.815
4055,GBR,2015,Government/compulsory schemes,Outpatient curative and rehabilitative care,All providers,21.676,2.114
4056,GBR,2015,Government/compulsory schemes,Governance and health system and financing administration,All providers,1.12,0.109
4057,GBR,2015,Voluntary schemes/household out-of-pocket payments,Current expenditure on health (all functions),Hospitals,2.844,0.277
4058,GBR,2015,Voluntary schemes/household out-of-pocket payments,Current expenditure on health (all functions),Residential long-term care facilities,5.041,0.492
4059,GBR,2015,Voluntary schemes/household out-of-pocket payments,Current expenditure on health (all functions),Providers of ambulatory health care,4.282,0.418
4060,GBR,2015,Voluntary schemes/household out-of-pocket payments,Current expenditure on health (all functions),Providers of preventive care,0.22,0.022
4061,GBR,2015,Voluntary schemes/household out-of-pocket payments,Current expenditure on health (all functions),Rest of the world,0.099,0.01
4062,GBR,2015,Voluntary schemes/household out-of-pocket payments,Current expenditure on health (all functions),Providers of health care system administration and financing,0.992,0.097
4063,GBR,2015,Voluntary schemes/household out-of-pocket payments,Current expenditure on health (all functions),Retailers and other providers of medical goods,3.29,0.321
4064,GBR,2015,Voluntary schemes/household out-of-pocket payments,Current expenditure on health (all functions),Providers unknown,0.041,0.004
